Model Name,Intelligence Index,Raw Input Price,Raw Output Price,1:1 Blended Cost,8:2 Blended Cost,9:1 Blended Cost,Total Blended Cost,Value Score (raw),Value Score (%)
Anthropic: Claude Fable 5,59.9,10.0,50.0,30.0,18.0,14.0,62.0,2.898387096774193,0.7189688380833072
OpenAI: GPT-5.6 Sol,58.9,5.0,30.0,17.5,10.0,7.5,35.0,5.048571428571428,1.2523398058252426
MoonshotAI: Kimi K3,57.1,3.0,15.0,9.0,5.4,4.2,18.6,9.209677419354838,2.2845364860632635
Anthropic: Claude Opus 4.8,55.7,5.0,25.0,15.0,9.0,7.0,31.0,5.3903225806451625,1.3371139993736303
OpenAI: GPT-5.6 Terra,55.0,2.5,15.0,8.75,5.0,3.75,17.5,9.428571428571429,2.338834951456311
OpenAI: GPT-5.5,54.8,5.0,30.0,17.5,10.0,7.5,35.0,4.697142857142857,1.1651650485436893
xAI: Grok 4.5,53.8,2.0,6.0,4.0,2.8000000000000003,2.4000000000000004,9.200000000000001,17.54347826086956,4.351804558885605
Anthropic: Claude Opus 4.7,53.5,5.0,25.0,15.0,9.0,7.0,31.0,5.17741935483871,1.2843015972439713
Anthropic: Claude Sonnet 5,53.4,2.0,10.0,6.0,3.6,2.8,12.399999999999999,12.919354838709678,3.2047525837770126
OpenAI: GPT-5.4,51.4,2.5,15.0,8.75,5.0,3.75,17.5,8.811428571428571,2.1857475728155342
OpenAI: GPT-5.6 Luna,51.2,1.0,6.0,3.5,2.0,1.5,7.0,21.942857142857147,5.443106796116506
Z.ai: GLM 5.2,51.1,0.2506,0.7876,0.5191,0.358,0.3043,1.1814,129.76130015236163,32.188361348474174
Meta: Muse Spark 1.1,50.6,1.25,4.25,2.75,1.85,1.55,6.1499999999999995,24.682926829268297,6.12280369405636
Google: Gemini 3.5 Flash,50.2,1.5,9.0,5.25,3.0,2.25,10.5,14.342857142857145,3.557864077669904
Anthropic: Claude Sonnet 4.6,47.2,3.0,15.0,9.0,5.4,4.2,18.6,7.612903225806452,1.888443470090824
Google: Gemini 3.1 Pro Preview,46.5,2.0,12.0,7.0,4.0,3.0,14.0,9.964285714285714,2.471723300970874
Qwen: Qwen3.7 Max,46.0,1.475,4.425,2.95,2.0650000000000004,1.77,6.785,20.338983050847457,5.045252591739345
MiniMax: MiniMax M3,44.4,0.3,1.2,0.75,0.48,0.39,1.62,82.22222222222221,20.395900755124057
DeepSeek: DeepSeek V4 Pro,44.3,0.435,0.87,0.6525,0.522,0.47850000000000004,1.653,80.39927404718692,19.943703416559476
MoonshotAI: Kimi K2.6,44.2,0.684,3.42,2.052,1.2312,0.9576,4.2408,31.267685342388233,7.7562073834759175
Xiaomi: MiMo-V2.5-Pro,42.2,0.435,0.87,0.6525,0.522,0.47850000000000004,1.653,76.58802177858439,18.99829083925079
MoonshotAI: Kimi K2.7 Code,41.9,0.85,3.8,2.3249999999999997,1.44,1.145,4.91,25.600814663951116,6.350493346251953
Tencent: Hy3 preview,41.2,0.063,0.21,0.1365,0.09240000000000001,0.0777,0.30660000000000004,403.13111545988255,100.0
Nex AGI: Nex-N2-Pro,41.0,0.25,1.0,0.625,0.4,0.325,1.3499999999999999,91.11111111111111,22.600862998921254
Thinking Machines: Inkling,40.7,1.0,4.05,2.525,1.61,1.3050000000000002,5.4399999999999995,22.444852941176475,5.567630996573389
DeepSeek: DeepSeek V4 Flash,40.3,0.098,0.196,0.14700000000000002,0.11760000000000001,0.1078,0.37240000000000006,324.6509129967776,80.53233812687057
Z.ai: GLM 5.1,40.2,0.966,3.036,2.001,1.3800000000000001,1.173,4.554,26.48221343873518,6.569131586016348
OpenAI: GPT-5.4 Mini,40.0,0.75,4.5,2.625,1.5,1.125,5.25,22.857142857142858,5.66990291262136
xAI: Grok Build 0.1,39.8,1.0,2.0,1.5,1.2000000000000002,1.1,3.8000000000000003,31.42105263157894,7.794251405212059
Qwen: Qwen3.6 Plus,39.6,0.325,1.95,1.1375,0.65,0.48750000000000004,2.2750000000000004,52.21978021978022,12.953547423450336
